objectid,title,creator,subject,date,description,provenance,source,identifier,type,MEDIA,format,rights,rightsstatement,fileid,extension,object_location,image_small,image_thumb
JMA.60,Farm House Kitchen,"Sanchez, Lawrence",,1978-08,"A painting of the corner of a room that contains two windows, a porcelain sink set in a crudely made green cabinet that has a plywood counter top.  On the wall above the sink is a small cabinet with a box of corn flakes (cereal) on top of it.  A dish, a tin can and a cooking kettle sit on the counter top to the left of the sink.  A milk bottle is in the sink and a yellow dish pan, a knife, a glass mug, a paper cup, and a can of scouring powder are on the counter top to right of the sink.","Purchased by Mr. and Mrs. Jack Zarrow at the Wagner Gallery, Austin, TX, March 26, 1980. On frame:  Lawrence J. Sanchez, 905 N.E. 15th, Grand Prairie, Farm House Kitchen. Tag hanging on wire:  Lawrence Sanchez ""Farm House Kitchen"" acrylic on panel 250.00.","Zarrow Collection, Oklahoma State University Archives",JMA.60,Image,acrylic on panel,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMA.60,png,/objects/JMA.60.png,/objects/small/jma.60_sm.jpg,/objects/thumbs/jma.60_th.jpg
JMA.64,The Voice Of The Drum Circles The Sun,"Hill, Joan",Creek; Cherokee,,"A stylized painting of a man (facing the viewer) painted against a black hillside.  His black trousers and black coat blend with the background and are not visible.  He is wearing a wide brimmed high crowned white hat, a black coat with a fur collar, a white shirt, and two rows of conchos around his waist.  A long white scarf is draped over his left arm and he holds a drumstick in his left hand.  In his right hand he holds a drum and he appears to be singing.  The sky above the hill is red with a white moon (to viewer's left).","Purchased by Mr. and Mrs. Jack Zarrow at the Five Civilized Tribes Museum's Master Art Show, September 20, 1981. This painting received the Grand Award at the Five Civilized Tribes Museum's 1981 Master Art Show, September, 1981. On painting stretcher:  ""The Voice Of The Drum Circles The Sun"" acrylic 32 X 36 Joan Hill Chea Se Quah  79 & 81  Creek & Cherokee. Taped to back of frame:  ""The Voice Of The Drum Circles The Sun""  Drums were believed to be sacred or mysterious having great power because of the spiritual nature attributed to music.  The drum represented all of life's forces and its rhythm was symbolical of the rhythm of the entire universe   the heart throb of all creation.  Music marked every occasion of the Indian's life whether large or small, happy or sad, important or unimportant and no occasion was complete without the drum.","Zarrow Collection, Oklahoma State University Archives",JMA.64,Image,acrylic on canvas,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMA.64,png,/objects/JMA.64.png,/objects/small/jma.64_sm.jpg,/objects/thumbs/jma.64_th.jpg
JMS.119,Taos Pueblo Land,"Gonske, Walt",,,"An impressionistic landscape depicting a road (viewer's left) through grass, trees and brush.  There is snow on the ground and the trees are mostly bare and the grass dry (gold and cream colored)","Purchased by Mr. and Mrs. Jack Zarrow at the Total Arts Gallery, Taos, NM, May 13, 1980.  This was one of three paintings purchased at this time - two by Gonske and one by Rod Gobel. On back of painting:  ""Gonske NAWA ""Taos Pueblo Land""  #719 Card stapled to stretcher:  Artist:  Walt Gonske; Title:  Taos Pueblo Land;  Size:  16 X 20;  Med.:  oil on canvas, PRICE: $600;  #719","Zarrow Collection, Oklahoma State University Archives",JMS.119,Image,oil on canvas,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMS.119,png,/objects/JMS.119.png,/objects/small/jms.119_sm.jpg,/objects/thumbs/jms.119_th.jpg
JMZ.1,Buffalo Dancer,"Medina, Rafael",Zia Pueblo,1974,"Painting of a dancer in a headdress with buffalo horns facing viewer's right, stylized clouds and lightening in sky, two stylized birds and two ceramic pots (bowl on left, shouldered jar on right) at bottom, one on each side of the dancer.","Purchased by Mr. and Mrs. Jack Zarrow from R.G. Auctions, Albuquerque, NM, 2/5/95.  This painting was one of twenty that the Zarrows purchased at this auction.","Zarrow Collection, Oklahoma State University Archives",JMZ.1,Image,watercolor,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.1,png,/objects/JMZ.1.png,/objects/small/jmz.1_sm.jpg,/objects/thumbs/jmz.1_th.jpg
JMZ.10,Morning Hike In The Tetons,"Shaffer, Phillip",,,It is a painting of a landscape of mountain scene done in brown tones.  Aspen trees frame a mountain peak.,"Purchased by Mr. and Mrs. Zarrow at Four Seasons Gallery, Jackson, WY, Sept. 21, 1987. Taped to dust cover: Sept. 21, 1987; Morning Hike In The Tentons; 8X10 sepia watercolor; ""I tried to capture the suspense and the surprise that waits the hiker as he rounds the next bend ni the trail."" (signed) Phillip Shafer; Jackson, Wyo.","Zarrow Collection, Oklahoma State University Archives",JMZ.10,Image,watercolor,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.10,png,/objects/JMZ.10.png,/objects/small/jmz.10_sm.jpg,/objects/thumbs/jmz.10_th.jpg
JMZ.100,"untitled - 4 eagle dancers, two singers, two drummers","Pena, Tonita/Quah Ah",San Ildefonso,,"A painting of a Pueblo eagle dance.  There are four dancers - two men and two women.  The men wear traditional eagle costumes and the women traditional white hand-woven one-shoulder dresses with eagle feather headdresses.  They are grouped to the viewer's left - two face right, 2 face left.  Facing them on the viewer's right are two females holding bows and arrows.  They appear to be singing.  Behind them are two drummers wearing ""war"" bonnets.  They hold the drums with their left hands and beat them with a drumstick held in their right hands.  The singers and drummers face the viewer's left.","Purchased by Mr. and Mrs. Jack Zarrow from Howard Huston of Hurst, TX, who brought the paintings to their home, June 3, 1996.  This was one of four paintings purchased from him at this time.  The others were by: Mopope, Otis Polelonema, and Popovi Da.","Zarrow Collection, Oklahoma State University Archives",JMZ.100,Image,tempera,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.100,png,/objects/JMZ.100.png,/objects/small/jmz.100_sm.jpg,/objects/thumbs/jmz.100_th.jpg
JMZ.101,Cochiti Pueblo Corn Dance - The Banner,"Pena, Tonita/Quah Ah",San Ildefonso,,"A painting of a Pueblo Indian man dancing and carrying a decorated pole.  His hair is worn in a Pueblo hairstyle and he wears a pink shirt, beaded and fringed buckskin leggings, and beaded moccasins.  In addition he wears a turquoise necklace and a silver and turquoise concho belt.  Painting Ca. 1930","Purchased by Mr. and Mrs. Jack Zarrow by mail from Gallery 10 in Scottsdale, AZ on April 17, 1991.  The painting was purchased by Gallery 10 from a Missouri couple.  They collected it in the 40s. On back of painting:  ""Cochiti Pueblo Corn Dance The Banner""","Zarrow Collection, Oklahoma State University Archives",JMZ.101,Image,tempera,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.101,png,/objects/JMZ.101.png,/objects/small/jmz.101_sm.jpg,/objects/thumbs/jmz.101_th.jpg
JMZ.102,untitled - Pueblo Indian woman in ceremonial dress,"Pena, Tonita/Quah Ah",San Ildefonso,,"A painting of a Pueblo Indian woman dancer who is facing the viewer's left.  She is dressed in a white, one shoulder hand-woven embroidered dress and wears a red and black hand-woven sash around her waist.  In addition she wears an eagle feather headdress and holds two feathers in her right hand.  Around her neck she wears several turquoise necklaces. ","Purchased by Mr. and Mrs. Jack Zarrow from the Four Winds Gallery, Inc., Pittsburgh, PA in December of 1994.","Zarrow Collection, Oklahoma State University Archives",JMZ.102,Image,tempera,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.102,png,/objects/JMZ.102.png,/objects/small/jmz.102_sm.jpg,/objects/thumbs/jmz.102_th.jpg
JMZ.103,untitled - a child dressed as a Koshare clown (or Kossa),"Gutierrez, Geraldine",Santa Clara; San Ildefonso,1979,"A painting of a child wearing the traditional Koshare headdress and black and white body paint.  He faces the viewer and wears a hand-woven breechclout, a hand-woven sash and high topped dance moccasins.  Above his head is a sun symbol and underneath him are geometric designs that include two turtles.","Purchased by Mr. and Mrs. Jack Zarrow by absentee bid from a R.G. Munn auction held in Albuquerque, NM, February 5, 1995.  This was one of 15 paintings purchased at the auction.  Auction number (on tag on back of painting):  585","Zarrow Collection, Oklahoma State University Archives",JMZ.103,Image,tempera,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.103,png,/objects/JMZ.103.png,/objects/small/jmz.103_sm.jpg,/objects/thumbs/jmz.103_th.jpg
JMZ.104,Mythical Pony,Pop Chalee/Marina Lujan,Taos,,"A painting of a gold colored horse with a billowing, flowing white mane and tail.  Its neck is arched and its eye size is exaggerated (large).","Purchased by Mr. and Mrs. Jack Zarrow at Streets of Taos in Santa Fe, NM on March 28, 1992.  While visiting the store the Zarrows noticed this painting hanging back of the cash register and asked if it was for sale.  The woman said she guessed so and she sold it to them. On sale receipt:  Pop Chalee Mythical Pony; 1983 - 1989; 5 1/2"" X 3 1/2""; original painting; tempera on French paper.","Zarrow Collection, Oklahoma State University Archives",JMZ.104,Image,tempera,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.104,png,/objects/JMZ.104.png,/objects/small/jmz.104_sm.jpg,/objects/thumbs/jmz.104_th.jpg
