objectid,title,creator,subject,signature,date,description,condition,scope and contents,provenance,source,identifier,relation,type,media,format,frame,size,rights,rightsstatement,fileid,object_location,image_small,image_thumb
jmz.1,Buffalo dancer,"Medina, Rafael",Zia,"Rafael Medina '74 (printed, lower center)",1974,"A painting of a dancer in a headdress with buffalo horns. There are stylized clouds and lightning in the sky, two stylized birds and two ceramic pots. The pots are at the bottom of the image, one on each side of the dancer. The ceramic pot on the left is a bowl while the one on the right is a shouldered jar.",undamaged; acid-free framing,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow from an R. G. Munn auction, Albuquerque, NM, February 5, 1995. This painting was one of twenty purchased at this auction.","Zarrow Collection, Oklahoma State University Archives",jmz.1,,Image,Watercolor (paint),image/png,Wood (plant material),image: 11 1/2 x 8 1/2 in.; framed: 18 1/4 x 15 1/4 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.1.png,/objects/jmz.1.png,/objects/small/jmz.1_sm.jpg,/objects/thumbs/jmz.1_th.jpg
jmz.10,Morning hike in the Tetons,"Shaffer, Phillip",,"Phillip Shaffer (script, lower right)",,A sepia painting of a landscape. Aspen trees in the foreground frame a mountain peak in the background.,undamaged,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow at the Four Seasons Gallery, Jackson, WY, September 21, 1987. Taped to the dust cover: ""Sept. 21, 1987; 'Morning Hike In The Tentons'; 8X10 sepia watercolor; 'I tried to capture the suspense and the surprise that waits the hiker as he rounds the next bend in the trail.' Phillip Shafer; Jackson, Wyo.""","Zarrow Collection, Oklahoma State University Archives",jmz.10,,Image,Watercolor (paint),image/png,Wood (plant material),image: 9 1/2 x 7 1/2 in.; framed: 15 5/8 x 13 1/2 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.10.png,/objects/jmz.10.png,/objects/small/jmz.10_sm.jpg,/objects/thumbs/jmz.10_th.jpg
jmz.100,Untitled (Four eagle dancers),"Pena, Maria Antonia",San Ildefonso,"Quah Ah Tonita Pena (printed, lower right)",,"A painting of a Pueblo eagle dance. There are four dancers, consisting of two men and two women. The men are wearing traditional eagle costumes, and the women are wearing traditional white handwoven one-shoulder dresses with eagle feather headdresses. The dancers are in a group on the left side of the painting. The two in the foreground are facing right, while the two in the background are facing left. On the right side of the painting are two women facing left, each holding a bow and arrows. They appear to be singing. To their right are two drummers, facing left and wearing war bonnets. They each hold a drum in their left hand and drumstick in their right hand.","repaired tear-upper left; creasing, water stains, white spots - top; dents and foxing","The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow from Howard Huston of Hurst, TX, who brought the paintings to their home, June 3, 1996. This painting was one of four purchased from Huston at this time. The others were by Mopope, Otis Polelonema, and Popovi Da.","Zarrow Collection, Oklahoma State University Archives",jmz.100,,Image,Tempera,image/png,Wood (plant material),image: 10 5/8 x 13 3/8 in.; framed: 18 3/8 x 20 3/4 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.100.png,/objects/jmz.100.png,/objects/small/jmz.100_sm.jpg,/objects/thumbs/jmz.100_th.jpg
jmz.101,Cochiti Pueblo corn dance - The banner,"Pena, Maria Antonia",San Ildefonso,"Quah Ah Tonita Pena (printed, lower right)",1930,"A painting, circa 1930, of a Pueblo Native American man dancing and carrying a decorated pole. His hair is worn in a Pueblo hairstyle and he is wearing a pink shirt, beaded and fringed buckskin leggings and beaded moccasins. He is also wearing a turquoise necklace and a silver-and-turquoise concho belt. On the back of the painting: ""Cochiti Pueblo Corn Dance The Banner.""",slight foxing; museum mounting,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow via mail from Gallery 10 in Scottsdale, AZ, April 17, 1991. The painting was purchased by Gallery 10 from a Missouri couple, who had acquired the painting in the 1940s.","Zarrow Collection, Oklahoma State University Archives",jmz.101,,Image,Tempera,image/png,Wood (plant material),image: 13 1/2 x 6 1/2 in.; framed: 20 1/4 x 13 1/4 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.101.png,/objects/jmz.101.png,/objects/small/jmz.101_sm.jpg,/objects/thumbs/jmz.101_th.jpg
jmz.102,Untitled (Pueblo woman in ceremonial dress),"Pena, Maria Antonia",San Ildefonso,"Quah Ah Tonita Pena (printed, lower right)",,"A painting of a Pueblo Native American dancer who is facing left. She is wearing a white, one-shoulder, handwoven, embroidered dress and a red-and-black handwoven sash around her waist. She is also wearing an eagle feather headdress and is holding two feathers in her right hand. Around her neck, she is wearing several turquoise necklaces. ",undamaged; cardboard backing,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow from the Four Winds Gallery, Inc., Pittsburgh, PA, December 1994.","Zarrow Collection, Oklahoma State University Archives",jmz.102,,Image,Tempera,image/png,Wood (plant material),image: 8 x 4 3/4 in.; framed: 13 1/8 x 9 1/8 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.102.png,/objects/jmz.102.png,/objects/small/jmz.102_sm.jpg,/objects/thumbs/jmz.102_th.jpg
jmz.103,Untitled (Child dressed as a Koshare clown or Kossa),"Gutierrez, Geraldine",Santa Clara; San Ildefonso,"Geraldine Gutierrez '79 (printed, lower right)",1979,"A painting of a child wearing a traditional Koshare headdress and black-and-white body paint. He is facing the viewer and wears a hand-woven breechclout, a hand-woven sash and high-topped dance moccasins. Above his head is a sun symbol and underneath him are geometric designs that include two turtles.",undamaged; acidic mats; cardboard backing,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow via absentee bid from an R.G. Munn auction held in Albuquerque, NM, February 5, 1995. This painting was one of 15 purchased at the auction. The auction number, recorded on a tag on the back of the painting, was 585.","Zarrow Collection, Oklahoma State University Archives",jmz.103,,Image,Tempera,image/png,Wood (plant material),image: 7 1/2 x 5 1/2 in.; framed: 11 3/4 x 9 3/4 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.103.png,/objects/jmz.103.png,/objects/small/jmz.103_sm.jpg,/objects/thumbs/jmz.103_th.jpg
jmz.104,Mythical pony,Pop Chalee,Taos (Native American style),"Pop Chalee over a feather (printed, lower right)",,"A painting of a gold horse with a billowing white mane and tail. Its neck is arched, and its eye size is exaggerated.",undamaged; museum mounting,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow at the Streets of Taos store in Santa Fe, NM, March 28, 1992. While visiting the store, the Zarrows noticed this painting hanging behind the cash register and asked if it was for sale. The woman guessed so and sold it to them. On the sale receipt: ""'Pop Chalee Mythical Pony'; 1983 - 1989; 5 1/2"" X 3 1/2""; original painting; tempera on French paper.""","Zarrow Collection, Oklahoma State University Archives",jmz.104,,Image,Tempera,image/png,Wood (plant material),image: 3 1/2 x 5 1/2 in.; framed: 10 x 11 3/8 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.104.png,/objects/jmz.104.png,/objects/small/jmz.104_sm.jpg,/objects/thumbs/jmz.104_th.jpg
jmz.105,Rock towers,"Nestler, Al",,"Nestler (printed, lower right)",,"A landscape painting of five towering red rock formations with a dark sky behind them. On the back of the painting: ""'Rock Towers' by Nestler, Sedona, AZ.""",undamaged,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow at Al Nestler's studio in Sedona, AZ. This painting was one of the first in the Zarrows' collection.","Zarrow Collection, Oklahoma State University Archives",jmz.105,,Image,Oil paint (paint),image/png,Wood (plant material),image: 8 x 10 in.; framed: 16 3/8 x 18 3/8 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.105.png,/objects/jmz.105.png,/objects/small/jmz.105_sm.jpg,/objects/thumbs/jmz.105_th.jpg
jmz.106,Lava Creek View 1,"Wilcox, Jim",,"Jim Wilcox '86 (printed, lower right)",1986,An impressionistic landscape that consists of a golden hillside and mountains in the background.,undamaged,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow at the Wilcox Gallery on a trip they made to Jackson, WY, September 22, 1987. On the invoice: ""Wilcox ptg #967; 'Lava Creek View #1'; 9 X 12; oil; Grand Teton Area, Jackson Hole, WY.""","Zarrow Collection, Oklahoma State University Archives",jmz.106,,Image,Oil paint (paint),image/png,Wood (plant material),image: 9 x 12 in.; framed: 16 3/4 x 19 3/4 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.106.png,/objects/jmz.106.png,/objects/small/jmz.106_sm.jpg,/objects/thumbs/jmz.106_th.jpg
jmz.107,Springtime (bluebonnets),"Curry, Charlotte L. ",,"C L Curry (printed, lower right)",,A landscape painting of a green tree with a mass of bluebonnets and other wildflowers in the foreground and green hills in the background.,undamaged,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow at the Holland Art Gallery, Kerrville, TX, March 7, 1992. On the back of the painting: ""'Springtime'; all painting rights reserved by artist: Charlotte L. Curry 1991 C491.2.""","Zarrow Collection, Oklahoma State University Archives",jmz.107,,Image,Oil paint (paint),image/png,Wood (plant material),image: 12 x 16 in.; framed: 16 7/8 x 20 5/8 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.107.png,/objects/jmz.107.png,/objects/small/jmz.107_sm.jpg,/objects/thumbs/jmz.107_th.jpg
